kode_kab,nama_kab,provinsi,tahun,bulan,curah_hujan_mm_forecast,method,mae_eval,rmse_eval
1,,,2026,1,10.065145851169266,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,2,9.828863188832294,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,3,11.323588151983092,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,4,11.513216561173993,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,5,9.64205822294574,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,6,8.650831502918772,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,7,7.140676530535114,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,8,6.908915832172285,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,9,6.891560573642967,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,10,7.584733933184515,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,11,9.925481164674643,sarimax,1.6063783663099944,1.9834314579066676
1,,,2026,12,10.329294581103118,sarimax,1.6063783663099944,1.9834314579066676
2,ACEH BARAT,Aceh,2026,1,8.907001175569244,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,2,7.815645712358283,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,3,9.23946150092749,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,4,11.71008507356347,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,5,8.575321017896915,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,6,4.838211827938435,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,7,5.684629560047177,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,8,8.174695852608865,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,9,7.8300351292903265,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,10,14.006478760484649,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,11,16.854642901010664,sarimax,3.1331661779788145,3.766678772504155
2,ACEH BARAT,Aceh,2026,12,12.356396489570413,sarimax,3.1331661779788145,3.766678772504155
3,ACEH BARAT DAYA,Aceh,2026,1,10.994752016343789,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,2,11.38656318937653,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,3,13.838250095356685,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,4,14.410883232526341,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,5,11.177849082605661,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,6,6.103736655819492,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,7,7.128536914447848,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,8,9.650222560381993,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,9,9.327172007300144,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,10,16.59035947146746,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,11,20.986010252742634,sarimax,2.6725137553792053,3.1597319393762655
3,ACEH BARAT DAYA,Aceh,2026,12,16.56527585199357,sarimax,2.6725137553792053,3.1597319393762655
4,ACEH BESAR,Aceh,2026,1,6.365529358210919,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,2,4.068795650610693,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,3,5.877011106226616,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,4,8.338353285529346,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,5,8.387916071097676,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,6,4.461094886026853,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,7,4.769231317413974,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,8,6.4696017911971815,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,9,6.658762541505316,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,10,10.452627000905608,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,11,14.588726823414,sarimax,1.9196395275709708,2.2797101052606292
4,ACEH BESAR,Aceh,2026,12,10.309865581925509,sarimax,1.9196395275709708,2.2797101052606292
5,ACEH JAYA,Aceh,2026,1,8.305405095172537,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,2,6.881958817915103,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,3,8.317113450262555,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,4,10.682489706290287,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,5,9.212830492067734,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,6,5.965971612156248,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,7,6.750815382588292,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,8,8.702314453592646,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,9,8.748300470220123,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,10,13.522098896021056,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,11,14.982821906277863,sarimax,2.289559106268585,2.81710986390343
5,ACEH JAYA,Aceh,2026,12,11.12629649150417,sarimax,2.289559106268585,2.81710986390343
6,ACEH SELATAN,Aceh,2026,1,13.662721105030146,sarimax,3.2988303597132025,3.8434205947224998
