KAB_KOTA,komoditas,tahun,konsumsi_per_kapita_kg_tahun,total_demand_kg_tahun,jml_pnddk
ACEH BARAT,Bayam,2018,3.6919999999999997,778934.468,210979.0
ACEH BARAT,Bayam,2019,5.096,1075148.984,210979.0
ACEH BARAT,Bayam,2020,3.9,822818.1,210979.0
ACEH BARAT,Bayam,2021,4.264,899614.456,210979.0
ACEH BARAT,Bayam,2022,3.588,756992.652,210979.0
ACEH BARAT,Bayam,2023,3.6919999999999997,778934.468,210979.0
ACEH BARAT,Bayam,2024,3.016,636312.664,210979.0
ACEH BARAT,"Beras (beras lokal, kualitas unggul, impor)",2018,99.372,20965405.188,210979.0
ACEH BARAT,"Beras (beras lokal, kualitas unggul, impor)",2019,88.76400000000001,18727339.956000004,210979.0
ACEH BARAT,"Beras (beras lokal, kualitas unggul, impor)",2020,87.88,18540834.52,210979.0
ACEH BARAT,"Beras (beras lokal, kualitas unggul, impor)",2021,94.068,19846372.572,210979.0
ACEH BARAT,"Beras (beras lokal, kualitas unggul, impor)",2022,79.144,16697721.976000002,210979.0
ACEH BARAT,"Beras (beras lokal, kualitas unggul, impor)",2023,79.3,16730634.7,210979.0
ACEH BARAT,"Beras (beras lokal, kualitas unggul, impor)",2024,82.47200000000001,17399860.088000003,210979.0
ACEH BARAT,Jagung basah dengan kulit,2018,0.78,164563.62,210979.0
ACEH BARAT,Jagung basah dengan kulit,2019,2.6,548545.4,210979.0
ACEH BARAT,Jagung basah dengan kulit,2020,1.612,340098.14800000004,210979.0
ACEH BARAT,Jagung basah dengan kulit,2021,2.6519999999999997,559516.308,210979.0
ACEH BARAT,Jagung basah dengan kulit,2022,1.8719999999999999,394952.68799999997,210979.0
ACEH BARAT,Jagung basah dengan kulit,2023,1.612,340098.14800000004,210979.0
ACEH BARAT,Jagung basah dengan kulit,2024,1.976,416894.504,210979.0
ACEH BARAT,Kacang kedele,2018,0.052000000000000005,10970.908000000001,210979.0
ACEH BARAT,Kacang kedele,2019,0.0,0.0,210979.0
ACEH BARAT,Kacang kedele,2020,0.0,0.0,210979.0
ACEH BARAT,Kacang kedele,2021,0.10400000000000001,21941.816000000003,210979.0
ACEH BARAT,Kacang kedele,2022,0.052000000000000005,10970.908000000001,210979.0
ACEH BARAT,Kacang kedele,2023,0.0,0.0,210979.0
ACEH BARAT,Kacang kedele,2024,0.0,0.0,210979.0
ACEH BARAT,Kentang,2018,3.3280000000000003,702138.1120000001,210979.0
ACEH BARAT,Kentang,2019,3.484,735050.836,210979.0
ACEH BARAT,Kentang,2020,4.42,932527.1799999999,210979.0
ACEH BARAT,Kentang,2021,5.252000000000001,1108061.708,210979.0
ACEH BARAT,Kentang,2022,5.303999999999999,1119032.616,210979.0
ACEH BARAT,Kentang,2023,3.848,811847.1919999999,210979.0
ACEH BARAT,Kentang,2024,3.3280000000000003,702138.1120000001,210979.0
ACEH BARAT DAYA,Bayam,2018,3.6919999999999997,578673.004,156737.0
ACEH BARAT DAYA,Bayam,2019,3.4320000000000004,537921.3840000001,156737.0
ACEH BARAT DAYA,Bayam,2020,2.86,448267.82,156737.0
ACEH BARAT DAYA,Bayam,2021,2.548,399365.876,156737.0
ACEH BARAT DAYA,Bayam,2022,2.08,326012.96,156737.0
ACEH BARAT DAYA,Bayam,2023,2.964,464568.468,156737.0
ACEH BARAT DAYA,Bayam,2024,3.0679999999999996,480869.1159999999,156737.0
ACEH BARAT DAYA,"Beras (beras lokal, kualitas unggul, impor)",2018,105.19600000000001,16488105.452000001,156737.0
ACEH BARAT DAYA,"Beras (beras lokal, kualitas unggul, impor)",2019,101.244,15868680.828,156737.0
ACEH BARAT DAYA,"Beras (beras lokal, kualitas unggul, impor)",2020,101.712,15942033.744,156737.0
ACEH BARAT DAYA,"Beras (beras lokal, kualitas unggul, impor)",2021,101.088,15844229.855999999,156737.0
ACEH BARAT DAYA,"Beras (beras lokal, kualitas unggul, impor)",2022,95.316,14939543.892,156737.0
ACEH BARAT DAYA,"Beras (beras lokal, kualitas unggul, impor)",2023,91.36399999999999,14320119.268,156737.0
ACEH BARAT DAYA,"Beras (beras lokal, kualitas unggul, impor)",2024,91.0,14263067.0,156737.0
ACEH BARAT DAYA,Jagung basah dengan kulit,2018,0.364,57052.268,156737.0
ACEH BARAT DAYA,Jagung basah dengan kulit,2019,1.56,244509.72,156737.0
ACEH BARAT DAYA,Jagung basah dengan kulit,2020,1.456,228209.072,156737.0
ACEH BARAT DAYA,Jagung basah dengan kulit,2021,2.496,391215.552,156737.0
ACEH BARAT DAYA,Jagung basah dengan kulit,2022,1.7160000000000002,268960.69200000004,156737.0
ACEH BARAT DAYA,Jagung basah dengan kulit,2023,1.976,309712.312,156737.0
