KAB_KOTA,komoditas,slope,r_squared,arah_tren
ACEH BARAT,Bayam,-38789.99614285714,0.37442695599022013,turun
ACEH BARAT,"Beras (beras lokal, kualitas unggul, impor)",-590469.9412857143,0.6305022698702488,turun
ACEH BARAT,Jagung basah dengan kulit,14105.453142857144,0.05053025577043046,naik
ACEH BARAT,Kacang kedele,-783.6362857142858,0.03846153846153846,turun
ACEH BARAT,Kentang,12146.362428571421,0.020604631217838745,naik
ACEH BARAT DAYA,Bayam,-20084.72700000001,0.26675257731958796,turun
ACEH BARAT DAYA,"Beras (beras lokal, kualitas unggul, impor)",-384811.72600000014,0.9086694839820647,turun
ACEH BARAT DAYA,Jagung basah dengan kulit,11352.237,0.045462697274031544,naik
ACEH BARAT DAYA,Kacang kedele,-1164.3319999999999,0.15384615384615383,turun
ACEH BARAT DAYA,Kentang,11061.154000000004,0.11805101373446711,naik
ACEH BESAR,Bayam,-12496.937142857118,0.022321428571428478,turun
ACEH BESAR,"Beras (beras lokal, kualitas unggul, impor)",1184709.6411428573,0.8182546568167256,naik
ACEH BESAR,Jagung basah dengan kulit,20828.228571428575,0.2072281167108753,naik
ACEH BESAR,Kacang kedele,-16662.582857142857,0.3597122302158272,turun
ACEH BESAR,Kentang,18328.841142857123,0.0930769230769227,naik
ACEH JAYA,Bayam,-17584.905,0.31455484434099484,turun
ACEH JAYA,"Beras (beras lokal, kualitas unggul, impor)",76579.42500000015,0.19256280817093274,naik
ACEH JAYA,Jagung basah dengan kulit,31388.109999999993,0.609106984969054,naik
ACEH JAYA,Kacang kedele,-8.120488408686859e-15,4.610947256224845e-35,turun
ACEH JAYA,Kentang,567.2549999999984,0.0004492811501597421,naik
ACEH SELATAN,Bayam,-7596.4961428571405,0.06790413533834593,turun
ACEH SELATAN,"Beras (beras lokal, kualitas unggul, impor)",-312350.0472857144,0.38721066245696795,turun
ACEH SELATAN,Jagung basah dengan kulit,24576.89928571429,0.23098656078191826,naik
ACEH SELATAN,Kacang kedele,-4021.674428571428,0.37499999999999994,turun
ACEH SELATAN,Kentang,24576.89928571427,0.12688758389261726,naik
ACEH SINGKIL,Bayam,23114.52,0.3432624113475175,naik
ACEH SINGKIL,"Beras (beras lokal, kualitas unggul, impor)",-158124.33000000028,0.15398853087045097,turun
ACEH SINGKIL,Jagung basah dengan kulit,11294.595,0.03787071931836802,naik
ACEH SINGKIL,Kacang kedele,262.665,0.041666666666666664,naik
ACEH SINGKIL,Kentang,41501.070000000014,0.3168985477810502,naik
ACEH TAMIANG,Bayam,29087.03571428571,0.26349072512647537,naik
ACEH TAMIANG,"Beras (beras lokal, kualitas unggul, impor)",-26760.072857142426,0.003005920925528064,turun
