,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,"Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)",Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam
nama_kab,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024
SIMEULUE,-,0,0.001,-,-,-,-,-,0.007,0.025,0.019,0.018,0.032,0.029,0.015,0.02,1.949,1.732,2.047,1.926,2.075,2.046,1.806,1.826,0.001,0.007,0.002,0.004,0.002,0.006,0.006,0.002,0.015,0.022,0.015,0.016,0.025,0.037,0.014
ACEH SINGKIL,-,0,0,0,0.001,-,-,-,0.086,0.087,0.088,0.125,0.124,0.136,0.094,0.067,1.744,1.981,1.812,1.891,1.621,1.711,1.787,1.719,0.027,0.006,0.02,0.043,0.057,0.021,0.019,0.009,0.062,0.066,0.053,0.082,0.072,0.087,0.071
ACEH SELATAN,0.001,0.003,0,-,-,0,0,0,0.033,0.05,0.052,0.07,0.061,0.043,0.053,0.046,2.014,1.92,1.757,1.879,1.905,1.831,1.791,1.84,0.008,0.013,0.023,0.036,0.019,0.023,0.021,0.044,0.045,0.038,0.048,0.04,0.035,0.036,0.045
ACEH TENGGARA,-,0,0.001,0,0.001,0.001,-,-,0.073,0.078,0.054,0.093,0.07,0.064,0.084,0.06,2.043,2.091,2.105,2,1.972,2.09,1.765,2.078,0.004,0.002,0.021,0.012,0.012,0.003,0.019,0.006,0.069,0.069,0.053,0.051,0.058,0.057,0.059
ACEH TIMUR,0.001,0,0.001,-,0.001,0,0.002,-,0.048,0.05,0.066,0.066,0.07,0.061,0.062,0.057,1.677,1.628,1.652,1.758,1.642,1.716,1.666,1.634,0.005,0.006,0.006,0.001,0.021,0.019,0.02,0.017,0.047,0.055,0.062,0.069,0.075,0.053,0.052
ACEH TENGAH,0,0.001,0.001,0.002,-,0.001,0,0,0.167,0.172,0.168,0.183,0.18,0.179,0.159,0.152,2.011,1.873,1.895,1.688,1.681,1.71,1.756,1.67,0.013,0.014,0.014,0.012,0.024,0.017,0.01,0.02,0.074,0.062,0.07,0.062,0.043,0.068,0.055
ACEH BARAT,0.001,0,0,0.002,0.001,-,0,-,0.064,0.067,0.085,0.101,0.102,0.074,0.064,0.051,1.911,1.707,1.69,1.809,1.522,1.525,1.586,1.592,0.015,0.05,0.031,0.051,0.036,0.031,0.038,0.044,0.071,0.098,0.075,0.082,0.069,0.071,0.058
ACEH BESAR,0.007,0,0,0.002,0.001,0,0,0,0.094,0.084,0.088,0.101,0.095,0.09,0.095,0.072,1.349,1.343,1.396,1.535,1.537,1.658,1.566,1.462,0.022,0.02,0.022,0.032,0.025,0.022,0.028,0.028,0.053,0.05,0.061,0.062,0.043,0.044,0.058
PIDIE,0.001,0,0,0,0.001,0.001,0.001,0,0.052,0.069,0.079,0.075,0.073,0.047,0.066,0.053,1.912,1.915,2.009,2.005,2.018,1.983,1.836,1.975,0.001,0.002,0.005,0.012,0.014,0.013,0.006,0.012,0.059,0.052,0.059,0.062,0.068,0.058,0.053
