key_wil,nama_kab,provinsi,nama_komoditas,nama_demand,ch_tahunan_mm,suhu_mean,ph,dem,tekstur_eng,kelas_kesesuaian,layak_lahan
,,,Bayam,Bayam,3339.9248853527106,24.879745147035674,5.069,460.14,heavy,N,0
ACEH BARAT,ACEH BARAT,Aceh,Bayam,Bayam,3533.0447543984556,24.022991070048317,4.953,184.44,heavy,N,0
ACEH BARAT DAYA,ACEH BARAT DAYA,Aceh,Bayam,Bayam,4510.807100322052,22.91751343447775,4.874,561.46,heavy,N,0
ACEH BESAR,ACEH BESAR,Aceh,Bayam,Bayam,2767.9368522603195,25.58000212995006,5.166,526.86,heavy,N,0
ACEH JAYA,ACEH JAYA,Aceh,Bayam,Bayam,3449.845949551916,24.809845079956446,4.98,274.42,heavy,N,0
ACEH SELATAN,ACEH SELATAN,Aceh,Bayam,Bayam,4895.518717634665,24.86370979590092,4.92,445.65,heavy,N,0
ACEH SINGKIL,ACEH SINGKIL,Aceh,Bayam,Bayam,3926.3149431496226,26.32010254101027,4.989,39.35,heavy,N,0
ACEH TAMIANG,ACEH TAMIANG,Aceh,Bayam,Bayam,3143.027236800862,25.57623232106324,5.127,311.81,heavy,N,0
ACEH TENGAH,ACEH TENGAH,Aceh,Bayam,Bayam,2744.692253155824,18.66470117697099,5.13,1335.27,heavy,N,0
ACEH TENGGARA,ACEH TENGGARA,Aceh,Bayam,Bayam,4566.06328212426,19.63274467406249,4.86,988.41,heavy,N,0
ACEH TIMUR,ACEH TIMUR,Aceh,Bayam,Bayam,3033.0335468359663,25.128630239789825,5.144,422.39,heavy,N,0
ACEH UTARA,ACEH UTARA,Aceh,Bayam,Bayam,2970.142880259055,25.286427379930235,5.188,350.05,heavy,N,0
AGAM,AGAM,Sumatera Barat,Bayam,Bayam,3936.595469870802,22.236160570403168,4.932,675.01,heavy,N,0
ALOR,ALOR,Nusa Tenggara Timur,Bayam,Bayam,3828.829826651883,23.32563596638954,5.904,538.54,medium,N,0
ASAHAN,ASAHAN,Sumatera Utara,Bayam,Bayam,2745.5956088949915,25.60748559126428,5.017,191.7,heavy,N,0
ASMAT,ASMAT,Papua Selatan,Bayam,Bayam,3931.797365365977,26.011308477068834,5.135,22.81,heavy,N,0
BADUNG,BADUNG,Bali,Bayam,Bayam,4122.693995357356,21.500717820181176,5.408,224.39,heavy,N,0
BALANGAN,BALANGAN,Kalimantan Selatan,Bayam,Bayam,3135.5975445384356,23.84389222610747,4.842,266.84,heavy,N,0
BANDUNG,BANDUNG,Jawa Barat,Bayam,Bayam,3727.9138206395305,20.806020146198193,5.351,1288.22,heavy,N,0
BANDUNG BARAT,BANDUNG BARAT,Jawa Barat,Bayam,Bayam,3437.372018889814,22.612184883234814,5.316,966.4,heavy,N,0
BANGGAI,BANGGAI,Sulawesi Tengah,Bayam,Bayam,2989.061131423133,25.580906243571903,5.247,548.78,heavy,N,0
BANGKA,BANGKA,Kepulauan Bangka Belitung,Bayam,Bayam,2547.8077970710624,26.640256741709077,4.986,28.93,heavy,N,0
BANGKA BARAT,BANGKA BARAT,Kepulauan Bangka Belitung,Bayam,Bayam,2812.6096237925362,26.028498118111532,4.935,22.6,heavy,N,0
BANGKA SELATAN,BANGKA SELATAN,Kepulauan Bangka Belitung,Bayam,Bayam,2713.2160699862966,26.49704409562187,4.884,25.37,heavy,N,0
BANGKA TENGAH,BANGKA TENGAH,Kepulauan Bangka Belitung,Bayam,Bayam,2592.6205329774707,26.597805753009364,4.985,38.06,heavy,N,0
BANGKALAN,BANGKALAN,Jawa Timur,Bayam,Bayam,3569.7205529254975,25.58809706169716,5.884,57.46,heavy,N,0
BANGLI,BANGLI,Bali,Bayam,Bayam,3450.790462309824,21.71889222383713,5.303,782.31,heavy,N,0
BANJAR,BANJAR,Kalimantan Selatan,Bayam,Bayam,2790.993518079032,25.727834108554536,5.105,159.71,heavy,N,0
BANJARNEGARA,BANJARNEGARA,Jawa Tengah,Bayam,Bayam,4158.897467002079,23.87625702646662,5.392,434.54,heavy,N,0
BANTAENG,BANTAENG,Sulawesi Selatan,Bayam,Bayam,3578.2428232447314,25.19263579150666,5.437,211.08,heavy,N,0
BANTUL,BANTUL,Daerah Istimewa Yogyakarta,Bayam,Bayam,2538.3114672109227,25.188516905678046,5.624,144.33,heavy,N,0
