KAB_KOTA,wadmkk_clean,wadmpr,jml_lk,jml_pr,jml_pnddk
,,,,,
ACEH BARAT,ACEH BARAT,Aceh,106286,104693,210979
ACEH BARAT DAYA,ACEH BARAT DAYA,Aceh,78922,77815,156737
ACEH BESAR,ACEH BESAR,Aceh,224896,223712,448608
ACEH JAYA,ACEH JAYA,Aceh,51553,50262,101815
ACEH SELATAN,ACEH SELATAN,Aceh,120527,120086,240613
ACEH SINGKIL,ACEH SINGKIL,Aceh,71292,70143,141435
ACEH TAMIANG,ACEH TAMIANG,Aceh,158233,155012,313245
ACEH TENGAH,ACEH TENGAH,Aceh,118481,116229,234710
ACEH TENGGARA,ACEH TENGGARA,Aceh,118992,118221,237213
ACEH TIMUR,ACEH TIMUR,Aceh,234745,231480,466225
ACEH UTARA,ACEH UTARA,Aceh,322625,324994,647619
AGAM,AGAM,Sumatera Barat,267078,266454,533532
ALOR,ALOR,Nusa Tenggara Timur,114349,117334,231683
ASAHAN,ASAHAN,Sumatera Utara,405043,397214,802257
ASMAT,ASMAT,Papua Selatan,65283,60305,125588
BADUNG,BADUNG,Bali,268456,271245,539701
BALANGAN,BALANGAN,Kalimantan Selatan,70953,68883,139836
BANDUNG,BANDUNG,Jawa Barat,1970972,1902681,3873653
BANDUNG BARAT,BANDUNG BARAT,Jawa Barat,983426,947024,1930450
BANGGAI,BANGGAI,Sulawesi Tengah,192724,187038,379762
BANGGAI KEPULAUAN,BANGGAI KEPULAUAN,Sulawesi Tengah,66483,64526,131009
BANGGAI LAUT,BANGGAI LAUT,Sulawesi Tengah,39489,38748,78237
BANGKA,BANGKA,Kepulauan Bangka Belitung,174400,165386,339786
BANGKA BARAT,BANGKA BARAT,Kepulauan Bangka Belitung,113074,105953,219027
BANGKA SELATAN,BANGKA SELATAN,Kepulauan Bangka Belitung,112505,105408,217913
BANGKA TENGAH,BANGKA TENGAH,Kepulauan Bangka Belitung,109675,102314,211989
BANGKALAN,BANGKALAN,Jawa Timur,521766,537916,1059682
BANGLI,BANGLI,Bali,132131,128910,261041
BANJAR,BANJAR,Kalimantan Selatan,300735,294982,595717
BANJARNEGARA,BANJARNEGARA,Jawa Tengah,547532,528338,1075870
BANTAENG,BANTAENG,Sulawesi Selatan,108584,110663,219247
BANTUL,BANTUL,Daerah Istimewa Yogyakarta,489339,492988,982327
BANYUASIN,BANYUASIN,Sumatera Selatan,458253,437939,896192
BANYUMAS,BANYUMAS,Jawa Tengah,944955,929259,1874214
BANYUWANGI,BANYUWANGI,Jawa Timur,900232,904519,1804751
BARITO KUALA,BARITO KUALA,Kalimantan Selatan,168234,163944,332178
BARITO SELATAN,BARITO SELATAN,Kalimantan Tengah,70817,67468,138285
BARITO TIMUR,BARITO TIMUR,Kalimantan Tengah,60899,58000,118899
BARITO UTARA,BARITO UTARA,Kalimantan Tengah,83133,77020,160153
BARRU,BARRU,Sulawesi Selatan,96423,99835,196258
BATANG,BATANG,Jawa Tengah,434333,427256,861589
BATANGHARI,BATANGHARI,Jambi,158399,150757,309156
BATU BARA,BATU BARA,Sumatera Utara,242302,237365,479667
BEKASI,BEKASI,Jawa Barat,1734914,1699854,3434768
BELITUNG,BELITUNG,Kepulauan Bangka Belitung,98398,94947,193345
BELITUNG TIMUR,BELITUNG TIMUR,Kepulauan Bangka Belitung,68367,64686,133053
BELU,BELU,Nusa Tenggara Timur,116470,117267,233737
BENER MERIAH,BENER MERIAH,Aceh,92611,90432,183043
BENGKALIS,BENGKALIS,Riau,351350,335453,686803
BENGKAYANG,BENGKAYANG,Kalimantan Barat,154359,142881,297240
BENGKULU SELATAN,BENGKULU SELATAN,Bengkulu,90316,87437,177753
BENGKULU TENGAH,BENGKULU TENGAH,Bengkulu,65288,62381,127669
BENGKULU UTARA,BENGKULU UTARA,Bengkulu,159310,152626,311936
BERAU,BERAU,Kalimantan Timur,161261,142179,303440
BIAK NUMFOR,BIAK NUMFOR,Papua,76712,74587,151299
BIMA,BIMA,Nusa Tenggara Barat,273256,272315,545571
BINTAN,BINTAN,Kepulauan Riau,93605,88750,182355
BIREUEN,BIREUEN,Aceh,233030,240012,473042
BLITAR,BLITAR,Jawa Timur,635621,630004,1265625
BLORA,BLORA,Jawa Tengah,465607,464842,930449
BOALEMO,BOALEMO,Gorontalo,78223,75300,153523
BOGOR,BOGOR,Jawa Barat,3007107,2868723,5875830
BOJONEGORO,BOJONEGORO,Jawa Timur,687186,680794,1367980
BOLAANG MONGONDOW,BOLAANG MONGONDOW,Sulawesi Utara,134496,124065,258561
BOLAANG MONGONDOW SELATAN,BOLAANG MONGONDOW SELATAN,Sulawesi Utara,39598,36857,76455
BOLAANG MONGONDOW TIMUR,BOLAANG MONGONDOW TIMUR,Sulawesi Utara,47941,43935,91876
BOLAANG MONGONDOW UTARA,BOLAANG MONGONDOW UTARA,Sulawesi Utara,45507,43153,88660
BOMBANA,BOMBANA,Sulawesi Tenggara,85232,83840,169072
BONDOWOSO,BONDOWOSO,Jawa Timur,387984,405390,793374
BONE,BONE,Sulawesi Selatan,407165,426320,833485
BONE BOLANGO,BONE BOLANGO,Gorontalo,88333,87091,175424
BOVEN DIGOEL,BOVEN DIGOEL,Papua Selatan,38792,34420,73212
BOYOLALI,BOYOLALI,Jawa Tengah,558436,558698,1117134
BREBES,BREBES,Jawa Tengah,1058482,1025866,2084348
BULELENG,BULELENG,Bali,419153,411720,830873
BULUKUMBA,BULUKUMBA,Sulawesi Selatan,237023,247177,484200
BULUNGAN,BULUNGAN,Kalimantan Utara,90612,81108,171720
BUNGO,BUNGO,Jambi,195236,188576,383812
BUOL,BUOL,Sulawesi Tengah,83974,79797,163771
BURU,BURU,Maluku,72409,70953,143362
BURU SELATAN,BURU SELATAN,Maluku,41211,40795,82006
BUTON,BUTON,Sulawesi Tenggara,61028,61395,122423
BUTON SELATAN,BUTON SELATAN,Sulawesi Tenggara,51042,52389,103431
BUTON TENGAH,BUTON TENGAH,Sulawesi Tenggara,60211,62576,122787
BUTON UTARA,BUTON UTARA,Sulawesi Tenggara,38242,36820,75062
CIAMIS,CIAMIS,Jawa Barat,657620,651871,1309491
CIANJUR,CIANJUR,Jawa Barat,1367401,1307417,2674818
CILACAP,CILACAP,Jawa Tengah,1046013,1020309,2066322
CIREBON,CIREBON,Jawa Barat,1273526,1236197,2509723
DAIRI,DAIRI,Sumatera Utara,167118,168128,335246
DEIYAI,DEIYAI,Papua Tengah,49146,44022,93168
DELI SERDANG,DELI SERDANG,Sumatera Utara,1056111,1048668,2104779
DEMAK,DEMAK,Jawa Tengah,637072,622610,1259682
DHARMASRAYA,DHARMASRAYA,Sumatera Barat,123899,120133,244032
DOGIYAI,DOGIYAI,Papua Tengah,61066,56063,117129
DOMPU,DOMPU,Nusa Tenggara Barat,140257,139627,279884
DONGGALA,DONGGALA,Sulawesi Tengah,164954,156057,321011
