kode_kab,nama_kab,provinsi,ph_min,ph_max,ph_mean,ph_std,ph_median,clay_min,clay_max,clay_mean,clay_std,clay_median,sand_min,sand_max,sand_mean,sand_std,sand_median,silt_min,silt_max,silt_mean,silt_std,silt_median,soc_min,soc_max,soc_mean,soc_std,soc_median,cec_min,cec_max,cec_mean,cec_std,cec_median,dem_min,dem_max,dem_mean,dem_std,dem_median,tekstur_tanah,tekstur_kategori,zona_agroekologi
001,,,4.4,6.4,5.069,0.289,5.1,20.7,54.1,37.822,4.065,37.7,14.8,57.8,30.376,4.966,30.0,15.7,46.4,31.803,3.485,32.0,1.69,30.0,8.553,3.645,7.67,9.5,40.4,21.889,3.771,21.5,-8.0,3310.0,460.14,487.02,317.0,Liat Berpasir,liat,Dataran Tinggi
002,ACEH BARAT,,4.6,5.5,4.953,0.137,4.9,28.2,45.6,37.137,2.474,37.3,23.4,43.6,35.542,3.162,36.1,20.1,40.7,27.321,3.417,26.6,4.69,17.56,8.658,1.891,8.38,17.7,39.1,23.604,3.14,22.6,-2.0,1712.0,184.44,261.13,57.0,Liat Berpasir,liat,Dataran Rendah
003,ACEH BARAT DAYA,,4.6,5.6,4.874,0.149,4.8,24.2,49.2,37.535,4.272,37.9,18.5,44.7,34.466,3.837,35.1,18.8,39.7,27.999,3.717,27.8,4.54,15.8,8.184,1.756,7.84,13.0,39.0,22.305,3.932,21.7,1.0,2905.0,561.46,594.35,366.0,Liat Berpasir,liat,Dataran Tinggi
004,ACEH BESAR,,4.7,5.8,5.166,0.191,5.2,27.4,47.0,35.053,2.579,34.9,27.0,44.7,35.904,2.797,35.9,22.1,37.0,29.044,2.164,29.0,2.73,16.32,6.789,2.311,6.38,11.0,33.9,20.058,4.349,19.7,-12.0,2297.0,526.86,473.01,378.0,Liat Berpasir,liat,Dataran Tinggi
005,ACEH JAYA,,4.7,5.6,4.98,0.102,5.0,29.7,44.6,37.017,2.06,37.0,23.4,42.9,34.598,2.567,34.7,18.9,39.2,28.385,2.657,28.1,4.32,16.63,8.583,1.429,8.36,15.8,37.6,23.259,3.081,22.5,-6.0,2286.0,274.42,327.15,136.0,Liat Berpasir,liat,Dataran Rendah
006,ACEH SELATAN,,4.6,5.6,4.92,0.131,4.9,23.0,52.3,39.149,5.2,40.0,18.7,43.4,32.096,4.205,32.4,18.6,42.5,28.754,4.283,28.3,4.28,21.28,9.331,2.516,8.83,12.5,35.2,21.002,3.417,20.8,-3.0,3190.0,445.65,578.56,140.0,Liat Berpasir,liat,Dataran Tinggi
007,ACEH SINGKIL,,4.6,5.5,4.989,0.192,4.9,28.3,49.6,36.923,3.244,36.7,21.3,39.0,30.149,2.724,30.2,19.2,43.6,32.929,3.785,33.2,5.59,21.93,11.162,3.563,9.8,14.6,38.7,22.59,3.228,22.0,-6.0,344.0,39.35,34.66,27.0,Liat Berpasir,liat,Dataran Rendah
008,ACEH TAMIANG,,4.7,5.6,5.127,0.126,5.1,27.5,50.8,35.852,2.762,35.6,17.1,43.7,33.471,4.765,34.9,20.4,46.2,30.679,3.694,29.9,3.49,17.68,6.816,2.324,6.12,11.8,38.7,18.832,4.957,17.1,-25.0,1980.0,311.81,442.42,54.0,Liat Berpasir,liat,Dataran Tinggi
009,ACEH TENGAH,,4.6,5.8,5.13,0.17,5.1,22.0,47.0,34.553,3.177,34.2,20.7,42.9,34.449,3.063,34.9,20.8,47.6,30.998,3.077,30.9,3.37,15.9,7.892,1.806,7.68,12.7,33.4,21.644,2.506,21.6,199.0,2950.0,1335.27,495.5,1350.0,Liat Berpasir,liat,Dataran Tinggi
010,ACEH TENGGARA,,4.5,5.7,4.86,0.173,4.8,22.8,49.8,35.25,4.369,35.6,26.3,44.5,35.716,2.316,35.8,20.1,40.6,29.033,3.309,28.9,3.76,17.29,8.553,2.055,8.36,12.3,36.4,21.159,3.784,20.9,3.0,3388.0,988.41,680.98,863.0,Liat Berpasir,liat,Dataran Tinggi
